source_concept,vocabulary_id,target_concept_id,target_vocabulary_id
1,LV_MEASUREMENT,3034204,LOINC
2,LV_MEASUREMENT,3042469,LOINC
3,LV_MEASUREMENT,3016723,LOINC
4,LV_MEASUREMENT,3020460,LOINC
5,LV_MEASUREMENT,46236952,LOINC
6,LV_MEASUREMENT,3000905,LOINC
7,LV_MEASUREMENT,3007461,LOINC
8,LV_MEASUREMENT,3017732,LOINC
9,LV_MEASUREMENT,3019198,LOINC
10,LV_MEASUREMENT,3013115,LOINC
11,LV_MEASUREMENT,3001604,LOINC
12,LV_MEASUREMENT,3000963,LOINC
13,LV_MEASUREMENT,3023314,LOINC
14,LV_MEASUREMENT,3004410,LOINC
15,LV_MEASUREMENT,3020416,LOINC
16,LV_MEASUREMENT,3024731,LOINC
17,LV_MEASUREMENT,3013721,LOINC
18,LV_MEASUREMENT,3006923,LOINC
19,LV_MEASUREMENT,3026910,LOINC
20,LV_MEASUREMENT,3035995,LOINC
21,LV_MEASUREMENT,3024128,LOINC
22,LV_MEASUREMENT,3005772,LOINC
23,LV_MEASUREMENT,40766287,LOINC
24,LV_MEASUREMENT,3033658,LOINC
